name,url,sku,pid,mpn,brand,color,price,currency,availability,description,specifications,images,primary_category,category_1,breadcrumbs,reviews_count,average_rating,uniq_id,scraped_at
"Chelsea Peers Modal Nightshirt, Black",https://www.johnlewis.com/chelsea-peers-modal-nightshirt/black/p109473185,109472764,109473185,109472764,Chelsea Peers,Black,38.00,GBP,OutOfStock,"<p>Perfect for slipping into before peaceful slumbers, this long-sleeved collar neck nightshirt from Chelsea Peers is lightweight and effortless thanks to its blended canvas.</p>",[],"https://johnlewis.scene7.com/is/image/JohnLewis/006346308,https://johnlewis.scene7.com/is/image/JohnLewis/006346308alt1,https://johnlewis.scene7.com/is/image/JohnLewis/006346308alt2,https://johnlewis.scene7.com/is/image/JohnLewis/006346308alt3,https://johnlewis.scene7.com/is/image/JohnLewis/006346308alt4,https://johnlewis.scene7.com/is/image/JohnLewis/006346308alt5,https://johnlewis.scene7.com/is/image/JohnLewis/006346308alt6",Women,Women's Nightwear,Women | Women's Nightwear,2,4,137efa4e-44ad-5b34-978d-4607a5623e33,3/3/2024
White Stuff Billie Linen Tunic Top,https://www.johnlewis.com/white-stuff-billie-linen-tunic-top/light-pink/p5942489,240771042,5942489,240771042,White Stuff,Yellow,0.00,GBP,Discontinued,"<p>Longer in length for relaxed days ahead, this tunic top by White Stuff allows for endless styling opportunities.</p>
 <p>Structured with a collar and cap sleeves, the linen fabric offers cool and breathable comfort in warmer months and is ideal for relaxed daytime wear.</p>",[],,Women,Women's Shirts & Tops,Women | Women's Shirts & Tops,,,a796b55a-6df9-58f6-88be-c09ae41de60e,3/3/2024
"Nora Rose by Cyberjammies Maeve Floral Print Nightdress, Grey Multi",https://www.johnlewis.com/nora-rose-by-cyberjammies-maeve-floral-print-nightdress/grey-multi/p109659380,109659146,109659380,109659146,Nora Rose by Cyberjammies,Grey Multi,24.50,GBP,OutOfStock,"<p>Scattered with a bouquet of florals, this sleeveless scoop neck nightie from Cyberjammies makes for comfortable wear thanks to its cotton blend fabric and is shaped to a calf-skimming silhouette.</p>",[],"https://johnlewis.scene7.com/is/image/JohnLewis/006379099,https://johnlewis.scene7.com/is/image/JohnLewis/006379099alt1",Women,Women's Nightwear,Women | Women's Nightwear,3,5,a3c23cc1-04cf-522f-bf67-b7ca2cfdabcd,3/3/2024
"Mini Boden Kids' Chain Stitch Octopus T-Shirt, Fire Opal",https://www.johnlewis.com/mini-boden-kids-chain-stitch-octopus-t-shirt-fire-opal/p110147186,110147101,110147186,110147101,Mini Boden,,0,GBP,Discontinued,"<p>With a sea-themed chain stitch design, this t-shirt is made from 100% cool and comfy cotton jersey.</p>",[],,Baby & Child,Boys' Clothes (2+ yrs),Baby & Child | Boys' Clothes (2+ yrs) | Boys' Shirts & Tops,,,c2f09fd3-862f-586e-bfe1-6d1d3d231817,3/3/2024
"Designers Guild Porto Furnishing Fabric, Duck Egg",https://www.johnlewis.com/designers-guild-porto-furnishing-fabric/duck-egg/p5249867,238915511,5249867,238915511,Designers Guild,Duck Egg,58,GBP,InStoreOnly,"<p>A stylish and versatile weave, in a broad colour palette,  with a velvet like handle. Woven from incredibly soft chenille yarns which are combined together to create a micro scale geometric texture.</P> 

<p><strong>Ready to place your order, or looking for more advice?</strong><br>
If you'd like to purchase this fabric and are ready to place your order, or need a little styling advice, there are a few ways we can help. Firstly, come into any of our shops and speak to a Partner. Alternatively, we can come to you as we're also now offering in-home appointments. Finally, you can book a virtual appointment and speak to one of our estimators on a video or phone call. They'll provide a combination of practical measuring, design and technical advice.<br> <a href=""https://www.johnlewis.com/our-services/curtains-and-blinds?intcmp=ic_20200605_virtualestimating_cp_hom_a_ah"">Find out more about our services and book an appointment here</a></p>
",[{'Designers Guild': 'Brand\n                                                                            \n                                                                        '}],,Home & Garden,Fabrics,Home & Garden | Fabrics | Fabric Swatches,,,e7afc141-37fa-5a92-9cad-cbce1480319f,3/3/2024
"Reiss Dayton V Neck Jersey Top, Navy",https://www.johnlewis.com/reiss-dayton-v-neck-jersey-top/navy/p110051824,110051493,110051824,110051493,Reiss,Navy,28,GBP,InStock,"<p>Designed with comfort and flexibility in mind thanks to its cotton blend handle, this​ jersey top by Reiss features a v-neckline and short sleeves.</p>
 <p>Refraining from any fussy details, this refined choice will effortlessly slip into your everyday rotation.</p>",[],"https://johnlewis.scene7.com/is/image/JohnLewis/006435134,https://johnlewis.scene7.com/is/image/JohnLewis/006435134alt1,https://johnlewis.scene7.com/is/image/JohnLewis/006435134alt3,https://johnlewis.scene7.com/is/image/JohnLewis/006435134alt4,https://johnlewis.scene7.com/is/image/JohnLewis/006435134alt5",Men,Men's T-Shirts,Men | Men's T-Shirts,1,5,5525e622-02f4-50bd-8879-f316559dcda7,3/3/2024
"John Lewis Select Gliding Curtain Pole with Barrel Finial, Wall Fix, Dia.30mm, Satin Gold, L100cm",https://www.johnlewis.com/john-lewis-select-gliding-curtain-pole-with-barrel-finial-wall-fix-dia-30mm/satin-gold/p6426628,109907909,6426628,109907909,John Lewis,Satin Gold,208,GBP,InStock,"<p><strong><p><strong>Returns</strong><br />
As our usual exchange and refund policy doesn’t apply to products that are made to order or made to measure, our Select Curtain Poles cannot be cancelled, returned or exchanged. This doesn't affect your statutory rights if goods are faulty, or not as described. To see the colour finishes of the poles, a selling partner or home designer, in store, will have a sample ring available with all finishes.</p>

<p>Behind every great pair of curtains is an even better curtain pole. It’s important not to neglect this part of your window dressing as, without even realising it, the pole provides support both in the obvious structural sense, but also in terms of complementing your decor. Designed and made here in the UK our premium Select Curtain Poles are a fantastic option. Here’s why:</p>

<p><li>They’re made from high-quality steel and/or aluminium that will support all curtain weights, from breezy voile panels to heavy, opulent velvets</li>
<li>Depending on the type of pole you choose there are up to four finials and five powder-coated finishes available so you can create your perfect configuration according to whether you’re going for a modern or more classic look</li>
<li>Sizes range from 1m to 4m, going up in 10cm increments, so there’s a size to fit every window without having to get the hacksaw out. If the size of the curtain pole selected is 210cm and above, the pole will be delivered in 2 parts. All Select pole sizing excludes finials</li>
<li>Even the ‘little bits’ are as robust as possible - the brackets (which project 10cm from the wall) have a vertical back plate that gives maximum support and grub screws secure the pole and finials in place</li>
<li>Magnetic cover plates are included to hide the fixings so there are no unsightly screws left on show</li>
<li>They can be mounted on wood, metal, masonry and plasterboard so you can match the poles throughout your home even if the wall types differ. Just be aware that you may need to purchase specialist fixings</li></p>

<p>This particular version is our 30mm, wall-fix gliding curtain pole with a barrel finial. It's suitable for hanging curtains with any pleated heading style. The gliders are designed to run smoothly in the pole channel, minimising noise as you open and close your curtains.</p>

<p><strong>Includes:</strong></p>
<table>
<tbody>
<tr>
<td>Curtain pole</td>
<td>1</td>
</tr>
<tr>
<td>Brackets</td>
<td>2x side brackets on all sizes</td></tr></tbody></table></strong></p>
<p>1x mid bracket if over 2m</p>
<p>3x mid brackets if over 3.5m

<tr>
<td>Finials</td>
<td>2</td>
</tr>
<tr>
<td>Gliders</td>
<td>1 per 10cm of pole</td>
</tr>
<tr>
<td>Other</td>
<td>
<p>Fitting instructions</p>
<p>Fixings (suitable for some wall types)</p>
<p>Fixing guide for advice on specialist fixings required depending on your wall type</p>
</td>
</tr>

</p>

<p>Curtain holdbacks are also available as part of our Select range. They come in the same 5 finishes as the pole so you can make sure they match.</p>

",[],,Home & Garden,Curtains & Blinds,Home & Garden | Curtains & Blinds | Curtain Poles,,,93d0a052-85b7-54ea-a3cc-a68c9e29fcec,3/3/2024
"John Lewis Metal Shelf Set, Pack of 2, Blue",https://www.johnlewis.com/john-lewis-metal-shelf-set-pack-of-2/plaster/p6416464,109455641,6416464,109455641,John Lewis,Celeste,15,GBP,InStock,"<p>In a handy pack of 2, these shelves are a colourful way to accessorise their space. The handmade shelves are made from heavy gauge iron sheets and have a matt-painted finish. The stylish shelves look great and make a great place for storing little keepsakes. </p>

",[],,Furniture & Lights,Children's,Furniture & Lights | Children's | Children's Bookcases,3,3.3,1070e459-32f5-56a1-be1f-04602c3232f2,3/3/2024
"Live Unlimited Curve V-Neck Crossover Hanky Hem Top, Blue",https://www.johnlewis.com/live-unlimited-curve-v-neck-crossover-hanky-hem-top-blue/p109553236,109553160,109553236,109553160,Live Unlimited,,0.00,GBP,Discontinued,"<p>An all-year essential, this jersey top by Live Unlimited will give your wardrobe the refresh it needs.</p>
 <p>With a flattering v-neckline and long sleeves, it is made from a soft viscose blend and will slot seamlessly into your everyday staples.</p>",[],,Women,Women's Shirts & Tops,Women | Women's Shirts & Tops,,,17c1adcf-1560-5328-a093-329b2b678b33,3/3/2024
"Benefit Hoola Matte Bronzer, Original",https://www.johnlewis.com/benefit-hoola-matte-bronzer/p6231988,241068310,6231988,241068310,Benefit,Original,26,GBP,InStock,"<p>Matte bronzer.</p> <ul> <li>Award-winning, iconic bronzer <li>Silky-soft powder bronzer with a matte finish <li>Available in 4 shades: Hoola, Hoola Lite, Hoola Toasted & Hoola Caramel</li> </ul> <p>The bronzer that started it all... </p> <p>Benefit’s bestselling powder bronzer instantly warms up your complexion and gives a classic matte finish. All 4 shades feature the same soft, blendable formula that made the original Hoola a cult-fave. Hoola-la!</p> <uL> <li>Hoola matte bronzer <li>Hoola Lite light matte bronzer <li>Hoola Caramel medium-deep matte bronzer <li>Hoola Toasted deep matte bronzer</li>",[],,Beauty,Makeup,Beauty | Makeup,390,4.6,22af93c0-52de-532f-96fd-d8fcb7e1bada,3/3/2024
"CHANEL Coco Mademoiselle Eau De Parfum Spray, 50ml",https://www.johnlewis.com/chanel-coco-mademoiselle-eau-de-parfum-spray/p1705282,233990344,1705282,233990344,CHANEL,,84.15,GBP,InStock,"<p>The essence of a bold, free woman. An Amber fragrance with a strong personality, yet surprisingly fresh.</p> <p>Sparks of fresh and vibrant orange immediately awaken the senses. A clear and sensual heart reveals the transparent accords of Jasmine and Rose. The trail unfurls the pure accents of Patchouli and Vetiver that emphasise the slender structure of the composition.</p> <p>The eau de parfum comes in a spray format for an effortless application on skin or clothing.</p> <p>A complete perfuming ritual for the bath and body is also available to enhance the fragrance trail.</p>",[],,Beauty,Women's Fragrance,Beauty | Women's Fragrance,34,4.8,56eca218-707b-5eec-b073-fa9633bf5599,3/3/2024
"Osborne & Little Bamboo Wallpaper, W7025-02",https://www.johnlewis.com/osborne-little-bamboo-wallpaper/w7025-02/p3141974,236780491,3141974,236780491,Osborne & Little,W7025-02,95,GBP,InStock,"<p>Stylised bamboo, rendered in a painterly fashion.</p>

<p>Have you thought about wallpaper accessories? Shop <a href=""/browse/home-garden/paints/paints/wallpaper-paint-accessories/_/N-cwq?intcmp=home_ao_wallpapertoaccs"">here</a>.</p>",[],,Home & Garden,Decorative Accessories,Home & Garden | Decorative Accessories | Wallpaper,1,5,b9a53e10-9461-5a63-a259-8a8f8bcfb5d9,3/3/2024
"John Lewis Chester Medium 2 Seater Leather Sofa, Dark Leg",https://www.johnlewis.com/john-lewis-chester-medium-2-seater-leather-sofa-dark-leg/sellvagio-blue/p4273522,238455766,4273522,238455766,John Lewis,Winchester Brioche,0,GBP,Discontinued,"<p>A modern twist on a classic shape, <strong>Chester</strong> features deep, feather-wrapped seat cushions and buttoned back detailing for an inviting sit, finished with brass-capped tapered legs.</p>
 
 <p><strong>Worth knowing…</strong><br /> As leather is a natural product, there are natural characteristics on each leather hide used to make our sofas. These could be things like brand marks, insect bites or wrinkles. A large sofa could be made with as many as four hides so there may also be some slight colour variation, however, we have strict guidelines to make sure any noticeable marks aren't in a prominent place. These distinctive qualities also mean that no two pieces of leather furniture will be exactly the same.</p>
 
 <p><strong>It's the little things</strong><br />We care about our furniture; how it's designed, the materials used and the people who make it. That's why every detail is carefully considered, with more than 20 quality checks, to ensure you're as proud of it as we are.</p><p><strong>Try before you buy</strong><br />We're confident in our furniture's quality, but it's always a good idea to check that it's a good personal fit for you. We can't display all of our pieces in all of our stores – they just won't fit – but call us on 03452 661805 and we can help you find a nearby location to see, sit or even lie on it before ordering.</p>",[],,Furniture & Lights,Sofas & Armchairs,Furniture & Lights | Sofas & Armchairs | Sofas & Sofa Beds,,,0f8197e0-06b1-5d88-9ddf-231b2f1dbaef,3/3/2024
"Fresh Seaberry Revitalising Conditioner, 240ml",https://www.johnlewis.com/fresh-seaberry-revitalising-conditioner-240ml/p3270935,237034803,3270935,237034803,Fresh,,0,GBP,Discontinued,"<p>Seaberry Revitalising Conditioner with nourishing omegas 3, 6, 7 &amp; 9 is a daily rinse for all hair types that softens, smooths, and revitalises the hair from root to tip while improving manageability and adding amazing body. The gentle formula further works to protect the hair from environmental stressors, promoting frizz-free strands. Seaberry has been revered since antiquity for its ability to promote shiny, healthy-looking hair.</p> <ul> <li>94% found it nourishing</li> <li>-94% said it coated and softened their hair and made it easy to comb after rinsing</li> <li>-90% felt it improved dryness and damage from root to tip and maintained healthy-looking hair</li> </ul> <p>*In vivo.</p> <p>Key ingredients:</p> <ul> <li>Seaberry oil, also known as seabuckthorn oil, is a powerful antioxidant rich in nourishing omegas 3, 6, 7 &amp; 9 that promote lustrous locks.</li> <li>Cranberry seed oil, packed with vitamin E and additional omegas, helps smooth and protect.</li> <li>Moringa seed extract is known to protect the hair from environmental stressors.</li> <li>Beet root extract is known to protect the hair from heat-induced stressors.</li> <li>Sal seed butter helps to soften and moisturise.</li> <li>Vitamin B5 helps smooth strands and enhance shine.</li> </ul>  <p>240ml</p>",[],,Beauty,Hair Care,Beauty | Hair Care,,,dabe8f00-7d42-57d6-81fb-3e214c13850f,3/3/2024
New Balance Fresh Foam X Hierro v7 Women's Trail Running Shoes,https://www.johnlewis.com/new-balance-fresh-foam-x-hierro-womens-trail-running-shoes-stone-pink/p110017544,110321111,110017544,110321111,New Balance,,140,GBP,InStock,"<ul>
<li>Megagrip outsole to create a protective shell of durability and traction
</li><li>Breathable, lightweight upper
</li><li>Fresh Foam midsole cushioning is precision-engineered to deliver an ultra-cushioned, lightweight ride
</li></ul>

<p>People love the idea of adventure in the great outdoors, but there's more to the natural landscape than fresh air and scenic views. Uneven terrain, debris, and moisture are unique challenges to footwear that require specialized construction. For those who take going off the beaten path literally, there's the Fresh Foam X Hierro, a dedicated, off-road application of our best running technology. The Fresh Foam X Hierro v7 employs a Vibram® Megagrip outsole to create a protective shell of durability and traction around the signature Fresh Foam X cushioning and a breathable, lightweight upper.
</p>",[],"https://johnlewis.scene7.com/is/image/JohnLewis/006516411,https://johnlewis.scene7.com/is/image/JohnLewis/006516411alt1,https://johnlewis.scene7.com/is/image/JohnLewis/006516411alt2,https://johnlewis.scene7.com/is/image/JohnLewis/006516411alt3,https://johnlewis.scene7.com/is/image/JohnLewis/006516411alt4,https://johnlewis.scene7.com/is/image/JohnLewis/006516411alt5,https://johnlewis.scene7.com/is/image/JohnLewis/006516411alt6,https://johnlewis.scene7.com/is/image/JohnLewis/006516411alt7",Women,Women's Trainers & Plimsolls,Women | Women's Trainers & Plimsolls,3,4.3,47ee8b25-0d00-5cf3-976c-7572ecc710b9,3/3/2024
Tommy Hilfiger Logo T-Shirt,https://www.johnlewis.com/tommy-hilfiger-logo-t-shirt/grey-heather/p5251776,238936857,5251776,238936857,Tommy Hilfiger,Grey Heather,0.00,GBP,Discontinued,"<p>Made from pure cotton jersey and finished with Tommy Hilfiger's flag and logo embroidery, this tee is a sleepwear staple. Relaxed fitting giving you room to move, mix and match it with favourite lounge or nightwear bottoms.</p>",[],,Women,Women's Shirts & Tops,Women | Women's Shirts & Tops,,,83833cca-96ed-5162-85d3-0b2ef5fd4db8,3/3/2024
"Designers Guild Brera Lino Furnishing Fabric, Cornflower",https://www.johnlewis.com/designers-guild-brera-lino-furnishing-fabric/cornflower/p5671817,238867752,5671817,238867752,Designers Guild,Cornflower,83,GBP,InStoreOnly,"<p>Beautiful plain soft washed linen, heavyweight with outstanding texture and drape. Heavy and durable, with all of the natural charm and character of linen for a textural and sensual experience.</p>

<p><strong>Ready to place your order, or looking for more advice?</strong><br>
If you'd like to purchase this fabric and are ready to place your order, or need a little styling advice, there are a few ways we can help. Firstly, come into any of our shops and speak to a Partner. Alternatively, we can come to you as we're also now offering in-home appointments. Finally, you can book a virtual appointment and speak to one of our estimators on a video or phone call. They'll provide a combination of practical measuring, design and technical advice.<br> <a href=""https://www.johnlewis.com/our-services/curtains-and-blinds?intcmp=ic_20200605_virtualestimating_cp_hom_a_ah"">Find out more about our services and book an appointment here</a></p>
",[{'Designers Guild': 'Brand\n                                                                            \n                                                                        '}],,Home & Garden,Fabrics,Home & Garden | Fabrics | Fabric Swatches,,,3aa64dcb-0343-5985-a906-5b4753ea0ad8,3/3/2024
"Reiss Brighton Pleated Relaxed Trousers, Ecru",https://www.johnlewis.com/reiss-brighton-pleated-relaxed-trousers/p110181295,111227075,110181295,111227075,Reiss,Ecru,138,GBP,OutOfStock,"<p>Nailing smart-casual dress codes with ease and nonchalance, these chinos from Reiss are cut to a slim fit that falls between a skinny and regular leg for the ultimate staple.</p>",[],"https://johnlewis.scene7.com/is/image/JohnLewis/006889944,https://johnlewis.scene7.com/is/image/JohnLewis/006889944alt3,https://johnlewis.scene7.com/is/image/JohnLewis/006889944alt4,https://johnlewis.scene7.com/is/image/JohnLewis/006889944alt5",Men,Men's Trousers,Men | Men's Trousers,,,bb6fdf3c-1c60-5be9-960a-06f39404f78f,3/3/2024
"Superdry Printed Mini Shirt Dress, Crawford Print",https://www.johnlewis.com/superdry-printed-mini-shirt-dress-crawford-print/p109417768,109416974,109417768,109416974,Superdry,,0.00,GBP,Discontinued,"<p>A sleek and modern choice, this mini dress by Superdry boasts a floral flourish for added appeal.</p>
 <p>Framed with a smart collar and short sleeves, this piece is one you'll reach for on relaxed days with friends.</p>",[],,Women,Women's Dresses,Women | Women's Dresses,,,0a364ec9-b471-5617-a7c7-9343a49b7d10,3/3/2024
"Gina Bacconi Spencer Knot Mini Dress, Teal",https://www.johnlewis.com/gina-bacconi-spencer-knot-mini-dress/wine/p3799178,237783848,3799178,237783848,Gina Bacconi,Teal,80.00,GBP,InStock,"<p>An ideal option for evening cocktails, this dress from Gina Bacconi exudes luxe style. </p>

<p>Made from soft velvet for a premium sheen, this dress is cut to a mini for ease of movement and long lasting comfort. It features a knot detail which pulls in the waist to create a stunning slinky silhouette.  </p>
 
<p>Wear with heels and a sparkling clutch. </p>",[],"https://johnlewis.scene7.com/is/image/JohnLewis/003793350,https://johnlewis.scene7.com/is/image/JohnLewis/003793350alt1,https://johnlewis.scene7.com/is/image/JohnLewis/003793350alt2,https://johnlewis.scene7.com/is/image/JohnLewis/003793350alt3,https://johnlewis.scene7.com/is/image/JohnLewis/003793350alt4",Women,Women's Dresses,Women | Women's Dresses,1,5,3b0c4b67-672a-540e-aa98-df67640df161,3/3/2024
